La velocidad inicial en x es: 63.4415
La velocidad inicial en y es: 29.5833
 t 		 posición en x 			 posición en y 			 velocidad en x 			 velocidad en y 
0			0				0				63.4415				29.5833
0.1			6.34098				2.90782				63.3781				28.5732
0.2			12.6756				5.71467				63.3148				27.5641
0.3			19.0039				8.42068				63.2515				26.5561
0.4			25.3259				11.0259				63.1883				25.549
0.5			31.6416				13.5305				63.1251				24.543
0.6			37.951				15.9345				63.062				23.5379
0.7			44.254				18.2381				62.999				22.5339
0.8			50.5508				20.4414				62.936				21.5309
0.9			56.8412				22.5443				62.8731				20.5288
1			63.1254				24.5472				62.8103				19.5278
1.1			69.4033				26.4499				62.7475				18.5278
1.2			75.6749				28.2528				62.6848				17.5288
1.3			81.9402				29.9557				62.6221				16.5307
1.4			88.1993				31.5589				62.5596				15.5337
1.5			94.4522				33.0625				62.497				14.5377
1.6			100.699				34.4665				62.4346				13.5426
1.7			106.939				35.771				62.3722				12.5486
1.8			113.173				36.9762				62.3098				11.5555
1.9			119.401				38.0822				62.2475				10.5635
2			125.623				39.089				62.1853				9.57239
2.1			131.838				39.9967				62.1232				8.58231
2.2			138.047				40.8055				62.0611				7.59322
2.3			144.25				41.5154				61.999				6.60512
2.4			150.447				42.1265				61.9371				5.61801
2.5			156.638				42.639				61.8752				4.63189
2.6			162.822				43.0529				61.8133				3.64675
2.7			169				43.3684				61.7515				2.66259
2.8			175.172				43.5855				61.6898				1.67942
2.9			181.338				43.7043				61.6282				0.697235
3			187.498				43.725				61.5666				-0.283971
3.1			193.652				43.6475				61.505				-1.2642
3.2			199.799				43.4722				61.4436				-2.24344
3.3			205.94				43.1989				61.3821				-3.22171
3.4			212.076				42.8278				61.3208				-4.199
3.5			218.205				42.3591				61.2595				-5.17531
3.6			224.327				41.7928				61.1983				-6.15065
3.7			230.444				41.129				61.1371				-7.12501
3.8			236.555				40.3678				61.076				-8.0984
3.9			242.659				39.5094				61.015				-9.07082
4			248.758				38.5537				60.954				-10.0423
4.1			254.85				37.501				60.893				-11.0127
4.2			260.936				36.3512				60.8322				-11.9822
4.3			267.017				35.1045				60.7714				-12.9508
4.4			273.091				33.7611				60.7106				-13.9183
4.5			279.159				32.3209				60.65				-14.8849
4.6			285.221				30.7841				60.5893				-15.8506
4.7			291.277				29.1508				60.5288				-16.8152
4.8			297.326				27.4211				60.4683				-17.7789
4.9			303.37				25.5951				60.4078				-18.7417
5			309.408				23.6728				60.3475				-19.7034
5.1			315.44				21.6544				60.2871				-20.6643
5.2			321.465				19.54				60.2269				-21.6241
5.3			327.485				17.3296				60.1667				-22.583
5.4			333.499				15.0234				60.1066				-23.541
5.5			339.506				12.6215				60.0465				-24.4979
5.6			345.508				10.1239				59.9865				-25.454
5.7			351.504				7.5307				59.9265				-26.409
5.8			357.493				4.84209				59.8666				-27.3631
5.9			363.477				2.05811				59.8068				-28.3163
6			369.455				-0.821143				59.747				-29.2685
